id_actividad,nombre,descripcion_corta,descripcion_larga,tipo,id_categoria,id_necesidad,edad_minima,edad_maxima,id_ubicacion,id_temporada,id_coste,id_entorno,rango_integrantes_min,rango_integrantes_max,link,imagen_principal,fecha_inicio,fecha_fin,hora_inicio,hora_fin,organizador,telefono_contacto,email_contacto
1,Actividad 1,Corta 1,"Esta es una descripción detallada de la actividad 1 que incluye temas como música, arte o deportes.",Taller,3,2,6,12,1,4,3,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 1,600123451,contacto1@actividad.com
2,Actividad 2,Corta 2,"Esta es una descripción detallada de la actividad 2 que incluye temas como música, arte o deportes.",Campamento,2,3,5,8,1,2,2,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 2,600123452,contacto2@actividad.com
3,Actividad 3,Corta 3,"Esta es una descripción detallada de la actividad 3 que incluye temas como música, arte o deportes.",Taller,2,1,7,8,1,1,2,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 3,600123453,contacto3@actividad.com
4,Actividad 4,Corta 4,"Esta es una descripción detallada de la actividad 4 que incluye temas como música, arte o deportes.",Extraescolar,2,3,5,8,1,4,3,exterior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 4,600123454,contacto4@actividad.com
5,Actividad 5,Corta 5,"Esta es una descripción detallada de la actividad 5 que incluye temas como música, arte o deportes.",Extraescolar,1,2,6,8,1,1,1,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 5,600123455,contacto5@actividad.com
6,Actividad 6,Corta 6,"Esta es una descripción detallada de la actividad 6 que incluye temas como música, arte o deportes.",Campamento,1,1,5,11,1,4,1,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 6,600123456,contacto6@actividad.com
7,Actividad 7,Corta 7,"Esta es una descripción detallada de la actividad 7 que incluye temas como música, arte o deportes.",Campamento,2,3,5,8,1,2,3,exterior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 7,600123457,contacto7@actividad.com
8,Actividad 8,Corta 8,"Esta es una descripción detallada de la actividad 8 que incluye temas como música, arte o deportes.",Taller,3,1,7,9,1,4,2,exterior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 8,600123458,contacto8@actividad.com
9,Actividad 9,Corta 9,"Esta es una descripción detallada de la actividad 9 que incluye temas como música, arte o deportes.",Extraescolar,3,2,5,8,1,1,3,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 9,600123459,contacto9@actividad.com
10,Actividad 10,Corta 10,"Esta es una descripción detallada de la actividad 10 que incluye temas como música, arte o deportes.",Taller,2,2,5,11,1,3,3,interior,5,20,http://actividad.com,imagen.jpg,2024-06-01,2024-07-01,10:00:00,12:00:00,Organizador 10,6001234510,contacto10@actividad.com
