id_evento,nombre_evento,tipo_actividad,descripcion,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link
1,Museo de la Ciencia Valladolid,museo,Disfruta de un espectáculo familiar en Museo de la Ciencia Valladolid en Valladolid el 25 de February de 2025.,Valladolid,2025-02-25 00:00:00,Espectáculo,Ninguna,5,5,Cubierto,Por confirmar,https://museocienciavalladolid.es/
2,Pueblo Español de Barcelona,otro,Disfruta de un concierto familiar en Pueblo Español de Barcelona en Barcelona el 4 de July de 2025.,Barcelona,2025-07-04 00:00:00,Concierto,Auditiva,5,0,Al aire libre,Por confirmar,https://poble-espanyol.com/
4,Museo Interactivo de la Música Málaga,museo,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 5 de July de 2025.,Málaga,2025-07-05 00:00:00,Espectáculo,Visual,3,8,Al aire libre,Desde 10€,https://www.musicaenaccion.com/
6,Museo Naval de Madrid,museo,Disfruta de un exposición familiar en Museo Naval de Madrid en Madrid el 25 de February de 2025.,Madrid,2025-02-25 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/
7,Dinópolis Teruel,museo,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 25 de April de 2025.,Teruel,2025-04-25 00:00:00,Exposición,Visual,2,5,Al aire libre,Desde 30€,https://www.dinopolis.com/
8,Festival de los Sentidos Albacete,museo,Disfruta de un festival familiar en Festival de los Sentidos Albacete en Albacete el 15 de September de 2025.,Albacete,2025-09-15 00:00:00,Festival,Movilidad reducida,4,0,Al aire libre,Por confirmar,https://festivaldelossentidos.com/
9,Festival de los Sentidos Albacete,otro,Disfruta de un concierto familiar en Festival de los Sentidos Albacete en Albacete el 19 de January de 2025.,Albacete,2025-01-19 00:00:00,Concierto,Visual,4,2,Cubierto,Por confirmar,https://festivaldelossentidos.com/
10,Biblioteca Eugenio Trías actividades infantiles,festival,Disfruta de un espectáculo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 31 de July de 2025.,Madrid,2025-07-31 00:00:00,Espectáculo,Ninguna,4,8,Cubierto,Desde 10€,https://www.madrid.es/portales/munimadrid
12,Feria del Caballo Jerez,biblioteca,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 23 de December de 2025.,Cádiz,2025-12-23 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 20€,https://feriadelcaballojerez.com/
13,CaixaForum Barcelona,feria,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 27 de July de 2025.,Barcelona,2025-07-27 00:00:00,Exposición,Cognitiva,1,5,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona
14,Biblioteca Eugenio Trías actividades infantiles,otro,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 15 de February de 2025.,Madrid,2025-02-15 00:00:00,Festival,Ninguna,5,0,Cubierto,Gratis,https://www.madrid.es/portales/munimadrid
15,Festival de Magia - Parque de Atracciones,festival,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 29 de April de 2025.,Madrid,2025-04-29 00:00:00,Espectáculo,Movilidad reducida,4,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
16,Biblioteca Eugenio Trías actividades infantiles,acuario,Disfruta de un museo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 5 de February de 2025.,Madrid,2025-02-05 00:00:00,Museo,Movilidad reducida,1,5,Al aire libre,Desde 20€,https://www.madrid.es/portales/munimadrid
17,Acuario de Gijón,feria,Disfruta de un parque temático familiar en Acuario de Gijón en Asturias el 26 de July de 2025.,Asturias,2025-07-26 00:00:00,Parque Temático,Auditiva,5,8,Cubierto,Desde 10€,https://acuariodegijon.es/
18,Festival de los Sentidos Albacete,parque de atracciones,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 8 de July de 2025.,Albacete,2025-07-08 00:00:00,Museo,Movilidad reducida,2,0,Al aire libre,Desde 20€,https://festivaldelossentidos.com/
19,Feria Medieval Ibiza,escapada,Disfruta de un espectáculo familiar en Feria Medieval Ibiza en Illes Balears el 24 de November de 2025.,Illes Balears,2025-11-24 00:00:00,Espectáculo,Movilidad reducida,4,5,Al aire libre,Desde 5€,https://ibiza.travel/
20,PortAventura World,otro,Disfruta de un exposición familiar en PortAventura World en Madrid el 30 de March de 2025.,Madrid,2025-03-30 00:00:00,Exposición,Movilidad reducida,1,8,Cubierto,Desde 20€,https://www.portaventuraworld.com/
21,Dinópolis Teruel,festival,Disfruta de un literatura familiar en Dinópolis Teruel en Teruel el 27 de January de 2025.,Teruel,2025-01-27 00:00:00,Literatura,Cognitiva,2,2,Al aire libre,Desde 20€,https://www.dinopolis.com/
22,Teleférico de Madrid,museo,Disfruta de un museo familiar en Teleférico de Madrid en Madrid el 12 de April de 2025.,Madrid,2025-04-12 00:00:00,Museo,Ninguna,1,8,Cubierto,Desde 20€,https://teleferico.emtmadrid.es/
23,CosmoCaixa Barcelona,acuario,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 18 de October de 2025.,Barcelona,2025-10-18 00:00:00,Concierto,Auditiva,5,2,Al aire libre,Desde 30€,https://cosmocaixa.org/
24,CaixaForum Barcelona,parque de atracciones,Disfruta de un festival familiar en CaixaForum Barcelona en Barcelona el 2 de June de 2025.,Barcelona,2025-06-02 00:00:00,Festival,Auditiva,4,8,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona
25,Festival de Magia - Parque de Atracciones,otro,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 16 de November de 2025.,Madrid,2025-11-16 00:00:00,Espectáculo,Auditiva,5,2,Cubierto,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
26,Biblioteca Eugenio Trías actividades infantiles,museo,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 27 de March de 2025.,Madrid,2025-03-27 00:00:00,Festival,Visual,3,8,Cubierto,Desde 30€,https://www.madrid.es/portales/munimadrid
27,Feria del Caballo Jerez,parque de atracciones,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 19 de March de 2025.,Cádiz,2025-03-19 00:00:00,Espectáculo,Auditiva,3,2,Al aire libre,Por confirmar,https://feriadelcaballojerez.com/
28,Festival Pirineos Sur,espectáculo infantil,Disfruta de un exposición familiar en Festival Pirineos Sur en Madrid el 5 de May de 2025.,Madrid,2025-05-05 00:00:00,Exposición,Cognitiva,1,5,Al aire libre,Desde 10€,https://pirineos-sur.es/
29,Museo de Cera de Madrid,acuario,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 3 de April de 2025.,Madrid,2025-04-03 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 30€,https://www.museoceramadrid.com/
30,CosmoCaixa Barcelona,concierto,Disfruta de un literatura familiar en CosmoCaixa Barcelona en Barcelona el 24 de September de 2025.,Barcelona,2025-09-24 00:00:00,Literatura,Visual,2,8,Al aire libre,Desde 30€,https://cosmocaixa.org/
31,Atlantis Aquarium Madrid,museo,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 21 de June de 2025.,Madrid,2025-06-21 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 10€,https://www.atlantisaquarium-madrid.es/
32,Parque de Aventuras Amazonia,festival,Disfruta de un concierto familiar en Parque de Aventuras Amazonia en Madrid el 20 de May de 2025.,Madrid,2025-05-20 00:00:00,Concierto,Auditiva,3,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/
33,Oceanogràfic Valencia,acuario,Disfruta de un exposición familiar en Oceanogràfic Valencia en Valencia el 5 de June de 2025.,Valencia,2025-06-05 00:00:00,Exposición,Visual,1,2,Cubierto,Gratis,https://www.oceanografic.org/
34,Pueblo Español de Barcelona,museo,Disfruta de un museo familiar en Pueblo Español de Barcelona en Barcelona el 23 de August de 2025.,Barcelona,2025-08-23 00:00:00,Museo,Auditiva,2,0,Cubierto,Desde 10€,https://poble-espanyol.com/
35,Biblioteca Eugenio Trías actividades infantiles,museo,Disfruta de un parque temático familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 7 de December de 2025.,Madrid,2025-12-07 00:00:00,Parque Temático,Visual,5,5,Al aire libre,Desde 5€,https://www.madrid.es/portales/munimadrid
37,Museo del Prado actividades familiares,zoologico,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 6 de April de 2025.,Bizkaia,2025-04-06 00:00:00,Museo,Movilidad reducida,2,2,Al aire libre,Gratis,https://www.museodelprado.es/
