id_evento,nombre_evento,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link
1,Museo de la Ciencia Valladolid,Valladolid,2025-02-25 00:00:00,Espectáculo,Ninguna,5,5,Cubierto,Por confirmar,https://museocienciavalladolid.es/
2,Pueblo Español de Barcelona,de Barcelona,2025-07-04 00:00:00,Concierto,Auditiva,5,0,Al aire libre,Por confirmar,https://poble-espanyol.com/
3,Museo Guggenheim actividades familiares,familiares,2025-04-16 00:00:00,Concierto,Movilidad reducida,3,0,Cubierto,Desde 10€,https://www.guggenheim-bilbao.eus/
4,Museo Interactivo de la Música Málaga,Málaga,2025-07-05 00:00:00,Espectáculo,Visual,3,8,Al aire libre,Desde 10€,https://www.musicaenaccion.com/
5,Museo del Chocolate Astorga,Astorga,2025-04-16 00:00:00,Concierto,Visual,3,0,Cubierto,Desde 20€,https://museodelchocolateastorga.com/
6,Museo Naval de Madrid,de Madrid,2025-02-25 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/
7,Dinópolis Teruel,Teruel,2025-04-25 00:00:00,Exposición,Visual,2,5,Al aire libre,Desde 30€,https://www.dinopolis.com/
8,Festival de los Sentidos Albacete,Albacete,2025-09-15 00:00:00,Festival,Movilidad reducida,4,0,Al aire libre,Por confirmar,https://festivaldelossentidos.com/
9,Festival de los Sentidos Albacete,Albacete,2025-01-19 00:00:00,Concierto,Visual,4,2,Cubierto,Por confirmar,https://festivaldelossentidos.com/
10,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-07-31 00:00:00,Espectáculo,Ninguna,4,8,Cubierto,Desde 10€,https://www.madrid.es/portales/munimadrid
11,Museo del Chocolate Astorga,Astorga,2025-09-23 00:00:00,Parque Temático,Cognitiva,4,0,Cubierto,Desde 10€,https://museodelchocolateastorga.com/
12,Feria del Caballo Jerez,Jerez,2025-12-23 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 20€,https://feriadelcaballojerez.com/
13,CaixaForum Barcelona,CaixaForum Barcelona,2025-07-27 00:00:00,Exposición,Cognitiva,1,5,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona
14,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-02-15 00:00:00,Festival,Ninguna,5,0,Cubierto,Gratis,https://www.madrid.es/portales/munimadrid
15,Festival de Magia - Parque de Atracciones,Atracciones,2025-04-29 00:00:00,Espectáculo,Movilidad reducida,4,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
16,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-02-05 00:00:00,Museo,Movilidad reducida,1,5,Al aire libre,Desde 20€,https://www.madrid.es/portales/munimadrid
17,Acuario de Gijón,Gijón,2025-07-26 00:00:00,Parque Temático,Auditiva,5,8,Cubierto,Desde 10€,https://acuariodegijon.es/
18,Festival de los Sentidos Albacete,Albacete,2025-07-08 00:00:00,Museo,Movilidad reducida,2,0,Al aire libre,Desde 20€,https://festivaldelossentidos.com/
19,Feria Medieval Ibiza,Ibiza,2025-11-24 00:00:00,Espectáculo,Movilidad reducida,4,5,Al aire libre,Desde 5€,https://ibiza.travel/
20,PortAventura World,World,2025-03-30 00:00:00,Exposición,Movilidad reducida,1,8,Cubierto,Desde 20€,https://www.portaventuraworld.com/
21,Dinópolis Teruel,Teruel,2025-01-27 00:00:00,Literatura,Cognitiva,2,2,Al aire libre,Desde 20€,https://www.dinopolis.com/
22,Teleférico de Madrid,de Madrid,2025-04-12 00:00:00,Museo,Ninguna,1,8,Cubierto,Desde 20€,https://teleferico.emtmadrid.es/
23,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-10-18 00:00:00,Concierto,Auditiva,5,2,Al aire libre,Desde 30€,https://cosmocaixa.org/
24,CaixaForum Barcelona,CaixaForum Barcelona,2025-06-02 00:00:00,Festival,Auditiva,4,8,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona
25,Festival de Magia - Parque de Atracciones,Atracciones,2025-11-16 00:00:00,Espectáculo,Auditiva,5,2,Cubierto,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia
26,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-03-27 00:00:00,Festival,Visual,3,8,Cubierto,Desde 30€,https://www.madrid.es/portales/munimadrid
27,Feria del Caballo Jerez,Jerez,2025-03-19 00:00:00,Espectáculo,Auditiva,3,2,Al aire libre,Por confirmar,https://feriadelcaballojerez.com/
28,Festival Pirineos Sur,Sur,2025-05-05 00:00:00,Exposición,Cognitiva,1,5,Al aire libre,Desde 10€,https://pirineos-sur.es/
29,Museo de Cera de Madrid,de Madrid,2025-04-03 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 30€,https://www.museoceramadrid.com/
30,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-09-24 00:00:00,Literatura,Visual,2,8,Al aire libre,Desde 30€,https://cosmocaixa.org/
31,Atlantis Aquarium Madrid,Aquarium Madrid,2025-06-21 00:00:00,Museo,Movilidad reducida,1,8,Al aire libre,Desde 10€,https://www.atlantisaquarium-madrid.es/
32,Parque de Aventuras Amazonia,Amazonia,2025-05-20 00:00:00,Concierto,Auditiva,3,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/
33,Oceanogràfic Valencia,Oceanogràfic Valencia,2025-06-05 00:00:00,Exposición,Visual,1,2,Cubierto,Gratis,https://www.oceanografic.org/
34,Pueblo Español de Barcelona,de Barcelona,2025-08-23 00:00:00,Museo,Auditiva,2,0,Cubierto,Desde 10€,https://poble-espanyol.com/
35,Biblioteca Eugenio Trías actividades infantiles,infantiles,2025-12-07 00:00:00,Parque Temático,Visual,5,5,Al aire libre,Desde 5€,https://www.madrid.es/portales/munimadrid
36,Museo del Chocolate Astorga,Astorga,2025-01-07 00:00:00,Concierto,Auditiva,4,0,Cubierto,Desde 10€,https://museodelchocolateastorga.com/
37,Museo del Prado actividades familiares,familiares,2025-04-06 00:00:00,Museo,Movilidad reducida,2,2,Al aire libre,Gratis,https://www.museodelprado.es/
38,Museo del Chocolate Astorga,Astorga,2025-08-04 00:00:00,Concierto,Auditiva,3,5,Cubierto,Desde 5€,https://museodelchocolateastorga.com/
39,Parque de Aventuras Amazonia,Amazonia,2025-11-10 00:00:00,Literatura,Ninguna,1,0,Al aire libre,Desde 5€,https://www.parqueaventuraamazonia.com/
40,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-08-17 00:00:00,Concierto,Auditiva,3,8,Cubierto,Desde 10€,https://cosmocaixa.org/
41,Museo del Prado actividades familiares,familiares,2025-11-09 00:00:00,Museo,Cognitiva,2,5,Al aire libre,Por confirmar,https://www.museodelprado.es/
42,Museo del Prado actividades familiares,familiares,2025-09-28 00:00:00,Literatura,Cognitiva,1,2,Cubierto,Desde 20€,https://www.museodelprado.es/
43,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-11-04 00:00:00,Espectáculo,Auditiva,4,0,Al aire libre,Gratis,https://parquedecabarceno.com/
44,CaixaForum Barcelona,CaixaForum Barcelona,2025-10-22 00:00:00,Exposición,Visual,2,5,Al aire libre,Por confirmar,https://caixaforum.org/es/barcelona
45,Atlantis Aquarium Madrid,Aquarium Madrid,2025-08-12 00:00:00,Festival,Cognitiva,4,2,Cubierto,Desde 30€,https://www.atlantisaquarium-madrid.es/
46,Parque de Aventuras Amazonia,Amazonia,2025-09-20 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.parqueaventuraamazonia.com/
47,Museo del Prado actividades familiares,familiares,2025-10-23 00:00:00,Museo,Visual,1,2,Cubierto,Desde 5€,https://www.museodelprado.es/
48,Festival Pirineos Sur,Sur,2025-06-29 00:00:00,Literatura,Movilidad reducida,2,5,Cubierto,Gratis,https://pirineos-sur.es/
49,Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-10-15 00:00:00,Festival,Ninguna,4,8,Al aire libre,Por confirmar,https://parquedecabarceno.com/
50,Pinocho en el Circo - Teatro San Pol,Pol,2025-06-03 00:00:00,Parque Temático,Ninguna,3,2,Al aire libre,Gratis,https://teatrosanpol.com/
51,Museo del Prado actividades familiares,familiares,2025-10-16 00:00:00,Concierto,Visual,5,8,Al aire libre,Desde 30€,https://www.museodelprado.es/
52,L'Aquàrium Barcelona,L'Aquàrium Barcelona,2025-07-26 00:00:00,Festival,Ninguna,5,0,Cubierto,Desde 30€,https://www.aquariumbcn.com/
53,Feria del Caballo Jerez,Jerez,2025-11-10 00:00:00,Parque Temático,Movilidad reducida,3,8,Cubierto,Desde 20€,https://feriadelcaballojerez.com/
54,Festival de Magia - Parque de Atracciones,Atracciones,2025-02-04 00:00:00,Festival,Cognitiva,4,0,Cubierto,Por confirmar,https://parquedeatracciones.es/eventos/festival-magia
55,Museo Naval de Madrid,de Madrid,2025-03-12 00:00:00,Literatura,Cognitiva,1,8,Cubierto,Por confirmar,https://www.armada.mde.es/MuseoNaval/
56,CosmoCaixa Barcelona,CosmoCaixa Barcelona,2025-09-17 00:00:00,Exposición,Auditiva,2,0,Cubierto,Gratis,https://cosmocaixa.org/
57,Museo Guggenheim actividades familiares,familiares,2025-06-23 00:00:00,Literatura,Movilidad reducida,2,0,Cubierto,Gratis,https://www.guggenheim-bilbao.eus/
58,Concierto Aitana Estadio Metropolitano,Metropolitano,2025-10-06 00:00:00,Concierto,Movilidad reducida,4,0,Cubierto,Desde 10€,https://aitanamusic.es/
