id_evento,nombre_evento,ubicacion,fecha,categoria,necesidad_especial,integrantes,edad_minima,modalidad,precio,link,descripcion
1,Museo de la Ciencia Valladolid,Valladolid,2025-02-25 00:00:00,Espectáculo,Ninguna,5,5,Cubierto,Por confirmar,https://museocienciavalladolid.es/,Disfruta de un espectáculo familiar en Museo de la Ciencia Valladolid en Valladolid el 25 de February de 2025.
2,Pueblo Español de Barcelona,Barcelona,2025-07-04 00:00:00,Concierto,Auditiva,5,0,Al aire libre,Por confirmar,https://poble-espanyol.com/,Disfruta de un concierto familiar en Pueblo Español de Barcelona en Barcelona el 4 de July de 2025.
4,Museo Interactivo de la Música Málaga,Málaga,2025-07-05 00:00:00,Espectáculo,Visual,3,8,Al aire libre,Desde 10€,https://www.musicaenaccion.com/,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 5 de July de 2025.
6,Museo Naval de Madrid,Madrid,2025-02-25 00:00:00,Exposición,Ninguna,1,8,Cubierto,Desde 20€,https://www.armada.mde.es/MuseoNaval/,Disfruta de un exposición familiar en Museo Naval de Madrid en Madrid el 25 de February de 2025.
7,Dinópolis Teruel,Teruel,2025-04-25 00:00:00,Exposición,Visual,2,5,Al aire libre,Desde 30€,https://www.dinopolis.com/,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 25 de April de 2025.
8,Festival de los Sentidos Albacete,Albacete,2025-09-15 00:00:00,Festival,Movilidad reducida,4,0,Al aire libre,Por confirmar,https://festivaldelossentidos.com/,Disfruta de un festival familiar en Festival de los Sentidos Albacete en Albacete el 15 de September de 2025.
9,Festival de los Sentidos Albacete,Albacete,2025-01-19 00:00:00,Concierto,Visual,4,2,Cubierto,Por confirmar,https://festivaldelossentidos.com/,Disfruta de un concierto familiar en Festival de los Sentidos Albacete en Albacete el 19 de January de 2025.
10,Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-07-31 00:00:00,Espectáculo,Ninguna,4,8,Cubierto,Desde 10€,https://www.madrid.es/portales/munimadrid,Disfruta de un espectáculo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 31 de July de 2025.
12,Feria del Caballo Jerez,Cádiz,2025-12-23 00:00:00,Espectáculo,Auditiva,5,2,Al aire libre,Desde 20€,https://feriadelcaballojerez.com/,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 23 de December de 2025.
13,CaixaForum Barcelona,Barcelona,2025-07-27 00:00:00,Exposición,Cognitiva,1,5,Cubierto,Por confirmar,https://caixaforum.org/es/barcelona,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 27 de July de 2025.
14,Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-02-15 00:00:00,Festival,Ninguna,5,0,Cubierto,Gratis,https://www.madrid.es/portales/munimadrid,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 15 de February de 2025.
15,Festival de Magia - Parque de Atracciones,Madrid,2025-04-29 00:00:00,Espectáculo,Movilidad reducida,4,8,Al aire libre,Desde 10€,https://parquedeatracciones.es/eventos/festival-magia,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 29 de April de 2025.
16,Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-02-05 00:00:00,Museo,Movilidad reducida,1,5,Al aire libre,Desde 20€,https://www.madrid.es/portales/munimadrid,Disfruta de un museo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 5 de February de 2025.
17,Acuario de Gijón,Asturias,2025-07-26 00:00:00,Parque Temático,Auditiva,5,8,Cubierto,Desde 10€,https://acuariodegijon.es/,Disfruta de un parque temático familiar en Acuario de Gijón en Asturias el 26 de July de 2025.
18,Festival de los Sentidos Albacete,Albacete,2025-07-08 00:00:00,Museo,Movilidad reducida,2,0,Al aire libre,Desde 20€,https://festivaldelossentidos.com/,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 8 de July de 2025.
