nombre_evento,ciudad,fecha,categoria,necesidad_especial,precio,descripcion
Museo de la Ciencia Valladolid,Valladolid,2025-02-25 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Museo de la Ciencia Valladolid en Valladolid el 25 de February de 2025.
Pueblo Español de Barcelona,Barcelona,2025-07-04 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un concierto familiar en Pueblo Español de Barcelona en Barcelona el 4 de July de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-07-05 00:00:00,Ocio,visual,Desde 10€,Disfruta de un espectáculo familiar en Museo Interactivo de la Música Málaga en Málaga el 5 de July de 2025.
Museo Naval de Madrid,Madrid,2025-02-25 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Museo Naval de Madrid en Madrid el 25 de February de 2025.
Dinópolis Teruel,Teruel,2025-04-25 00:00:00,Educación,visual,Desde 30€,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 25 de April de 2025.
Festival de los Sentidos Albacete,Albacete,2025-09-15 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Festival de los Sentidos Albacete en Albacete el 15 de September de 2025.
Festival de los Sentidos Albacete,Albacete,2025-01-19 00:00:00,Ocio,visual,Por confirmar,Disfruta de un concierto familiar en Festival de los Sentidos Albacete en Albacete el 19 de January de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-07-31 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 31 de July de 2025.
Feria del Caballo Jerez,Cádiz,2025-12-23 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 23 de December de 2025.
CaixaForum Barcelona,Barcelona,2025-07-27 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 27 de July de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-02-15 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 15 de February de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-04-29 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 29 de April de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-02-05 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 5 de February de 2025.
Acuario de Gijón,Asturias,2025-07-26 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un parque temático familiar en Acuario de Gijón en Asturias el 26 de July de 2025.
Festival de los Sentidos Albacete,Albacete,2025-07-08 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Festival de los Sentidos Albacete en Albacete el 8 de July de 2025.
Feria Medieval Ibiza,Illes Balears,2025-11-24 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Feria Medieval Ibiza en Illes Balears el 24 de November de 2025.
PortAventura World,Madrid,2025-03-30 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en PortAventura World en Madrid el 30 de March de 2025.
Dinópolis Teruel,Teruel,2025-01-27 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un literatura familiar en Dinópolis Teruel en Teruel el 27 de January de 2025.
Teleférico de Madrid,Madrid,2025-04-12 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un museo familiar en Teleférico de Madrid en Madrid el 12 de April de 2025.
CosmoCaixa Barcelona,Barcelona,2025-10-18 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un concierto familiar en CosmoCaixa Barcelona en Barcelona el 18 de October de 2025.
CaixaForum Barcelona,Barcelona,2025-06-02 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un festival familiar en CaixaForum Barcelona en Barcelona el 2 de June de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-11-16 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 16 de November de 2025.
