Company;TypeName;Inches;Ram;Memory;Weight;Price_euros;ScreenType;Resolution;IsTouchscreen;Cpu_Type;Memory_Cpu;OpsysType;Version;Manufacturer;MemoryGraphic;Model Base;Specifications;width;height
Dell;2 in 1 Convertible;11.6;4.0;128.0;1.39;603.0;Touchscreen;1366x768;True;Intel Core M 7Y30;1.0;Windows;10;Intel;HD Graphics 615;Inspiron 3179;;1366;768
Asus;Gaming;15.6;8.0;1024.0;2.45;699.0;Full HD;1920x1080;False;AMD FX 9830P;3.0;Windows;10;AMD;Radeon RX 560;FX550IK-DM018T ;8GB/1TB/Radeon;1920;1080
HP;Workstation;15.6;16.0;256.0;2.6;2419.0;Full HD;1920x1080;False;Intel Core i7 7700HQ;2.8;Windows;10;Nvidia;Quadro M2200;ZBook 15;;1920;1080
HP;2 in 1 Convertible;13.3;8.0;256.0;1.58;836.6;Touchscreen / IPS Panel;1366x768;True;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Pavilion X360;;1366;768
Toshiba;Notebook;15.6;8.0;256.0;2.2;1119.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;Tecra A50-C-1ZV;;1366;768
Dell;Notebook;14.0;4.0;128.0;1.6;735.87;Full HD;1920x1080;False;Intel Core i3 6006U;2.0;Windows;10;Intel;HD Graphics 520;Vostro 5468;;1920;1080
HP;Notebook;15.6;4.0;500.0;1.86;612.61;;1366x768;False;Intel Core i5 7200U;2.5;Windows;10;AMD;Radeon 520;250 G6;;1366;768
Dell;Notebook;15.6;8.0;1024.0;2.06;955.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Intel;HD Graphics 620;Latitude 3580;;1920;1080
Lenovo;Notebook;15.6;6.0;256.0;2.4;695.0;Full HD;1920x1080;False;Intel Core i5 7200U;2.5;Windows;10;Nvidia;GeForce 920MX;IdeaPad 310-15IKB;;1920;1080
Lenovo;Gaming;15.6;16.0;512.0;2.5;999.0;IPS Panel / Full HD;1920x1080;False;AMD FX 8800P;2.1;Windows;10;AMD;Radeon R9 M385;IdeaPad Y700-15ACZ;;1920;1080
HP;Ultrabook;14.0;8.0;512.0;1.48;2089.0;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;Intel;HD Graphics 620;EliteBook 840;;1920;1080
Dell;Notebook;15.6;16.0;2048.0;2.32;989.99;Full HD;1920x1080;False;Intel Core i7 7500U;2.7;Windows;10;AMD;Radeon R7 M445;Inspiron 5567;;1920;1080
Google;Ultrabook;12.3;8.0;256.0;1.1;1559.0;Touchscreen;2400x1600;True;Intel Core i5 7Y57;1.2;Chrome OS;;Intel;HD Graphics 615;Pixelbook ;;2400;1600
Asus;Netbook;11.6;4.0;64.0;1.2;340.0;;1366x768;False;Intel Celeron Dual Core N3350;1.1;Windows;10 S;Intel;HD Graphics 500;VivoBook E201NA;;1366;768
Dell;Notebook;15.6;8.0;256.0;2.09;1062.95;Full HD;1920x1080;False;Intel Core i5 6300U;2.4;Windows;7;Intel;HD Graphics 520;Latitude E5570;;1920;1080
HP;Notebook;15.6;4.0;500.0;2.31;1199.0;;1366x768;False;Intel Core i5 6200U;2.3;Windows;10;Intel;HD Graphics 520;ProBook 650;;1366;768
Lenovo;Notebook;15.6;8.0;128.0;2.6;789.0;IPS Panel / Full HD;1920x1080;False;Intel Core i5 6300HQ;2.3;Windows;10;Nvidia;GeForce GTX 960M;IdeaPad Y700-15ISK;;1920;1080
