fecha,producto_id,cantidad,precio_unitario,cliente_id,region
2023-01-01,2,35,45.7,19,Norte
2023-01-02,2,23,90.27,17,Norte
2023-01-03,19,17,23.19,21,Norte
2023-01-04,17,26,56.2,14,Norte
2023-01-05,20,8,30.99,9,Norte
2023-01-06,10,29,62.32,46,Norte
2023-01-07,6,26,87.68,1,Norte
2023-01-08,15,10,89.23,45,Norte
2023-01-09,11,26,31.3,13,Norte
2023-01-10,5,34,91.69,4,Norte
2023-01-11,1,41,63.27,1,Norte
2023-01-12,8,7,41.52,49,Norte
2023-01-13,12,4,73.74,40,Norte
2023-01-14,12,45,53.35,32,Norte
2023-01-15,5,11,44.02,34,Norte
2023-01-16,7,29,73.46,28,Norte
2023-01-17,4,36,32.39,31,Norte
2023-01-18,6,25,39.72,8,Norte
2023-01-19,13,21,49.1,39,Norte
2023-01-20,20,36,32.83,26,Norte
2023-01-21,15,10,46.47,34,Norte
2023-01-22,3,37,61.43,3,Norte
2023-01-23,8,9,76.69,50,Norte
2023-01-24,20,24,79.05,12,Norte
2023-01-25,16,35,84.05,1,Norte
2023-01-26,13,49,76.98,44,Norte
2023-01-27,18,35,71.29,5,Norte
2023-01-28,10,48,31.38,30,Norte
2023-01-29,19,36,46.02,30,Norte
2023-01-30,17,18,52.99,17,Norte
2023-01-31,19,49,17.46,48,Norte
2023-02-01,5,39,57.55,47,Norte
2023-02-02,9,32,49.27,23,Norte
2023-02-03,12,24,82.19,15,Norte
2023-02-04,1,23,98.01,37,Norte
2023-02-05,1,32,60.04,21,Norte
2023-02-06,15,37,39.04,14,Norte
2023-02-07,2,12,13.91,2,Norte
2023-02-08,16,49,93.22,11,Norte
2023-02-09,8,13,92.72,39,Norte
2023-02-10,13,23,32.77,38,Norte
2023-02-11,1,25,72.59,34,Norte
2023-02-12,16,35,16.79,38,Norte
2023-02-13,7,41,24.96,50,Norte
2023-02-14,5,30,29.51,34,Norte
2023-02-15,3,17,36.5,18,Norte
2023-02-16,12,49,99.62,30,Norte
2023-02-17,16,20,72.72,15,Norte
2023-02-18,19,48,44.58,27,Norte
2023-02-19,5,25,76.34,34,Norte
2023-02-20,14,22,92.37,38,Norte
2023-02-21,5,13,96.28,33,Norte
2023-02-22,15,19,15.21,24,Norte
2023-02-23,17,49,45.51,15,Norte
2023-02-24,14,36,19.61,30,Norte
2023-02-25,20,12,40.21,42,Norte
2023-02-26,5,41,25.27,17,Norte
2023-02-27,12,19,68.22,5,Norte
2023-02-28,16,12,44.94,29,Norte
2023-03-01,16,9,30.65,4,Norte
2023-03-02,7,7,33.93,10,Norte
2023-03-03,4,28,42.43,17,Norte
2023-03-04,1,14,33.4,10,Norte
2023-03-05,5,31,50.79,17,Norte
2023-03-06,10,19,12.91,20,Norte
2023-03-07,5,47,35.18,24,Norte
2023-03-08,4,16,47.01,5,Norte
2023-03-09,2,5,64.25,34,Norte
2023-03-10,20,35,34.39,6,Norte
2023-03-11,10,12,21.99,2,Norte
2023-03-12,19,25,16.86,13,Norte
2023-03-13,1,21,94.65,43,Norte
2023-03-14,5,36,47.5,43,Norte
2023-03-15,13,23,62.3,48,Norte
2023-03-16,4,16,92.73,11,Norte
2023-03-17,16,39,17.45,47,Norte
2023-03-18,16,45,88.9,23,Norte
2023-03-19,2,42,59.64,16,Norte
2023-03-20,17,39,24.84,31,Norte
2023-03-21,20,14,47.01,11,Norte
2023-03-22,12,31,79.98,16,Norte
2023-03-23,18,5,53.23,8,Norte
2023-03-24,3,35,98.68,4,Norte
2023-03-25,1,23,43.91,40,Norte
2023-03-26,1,29,77.46,4,Norte
2023-03-27,19,43,45.37,25,Norte
2023-03-28,11,11,84.62,3,Norte
2023-03-29,5,18,61.22,32,Norte
2023-03-30,12,47,15.72,3,Norte
2023-03-31,3,12,13.31,27,Norte
2023-04-01,1,9,22.05,29,Norte
2023-04-02,1,10,11.23,32,Norte
2023-04-03,8,44,16.78,50,Norte
2023-04-04,10,17,72.25,19,Norte
2023-04-05,11,38,58.09,21,Norte
2023-04-06,12,7,77.49,5,Norte
2023-04-07,13,46,92.18,18,Norte
2023-04-08,12,13,62.66,28,Norte
2023-04-09,14,40,75.35,42,Norte
2023-04-10,2,42,78.14,22,Norte
